Workflow,XLSX Tab,Test Case ID,Summary,Automatability,Dependency / Reason,Flow file (if implemented)
ExternalApp Tests,ExternalApp Tests,External App 3,View Case Data in companion app,Partial,"Spike confirmed (BrowserStack otherApps) - companion app appId/case-row selectors UNVERIFIED, see flows/externalapp_tests/README.md",flows/externalapp_tests/external_app_03_view_case_data.yaml
ExternalApp Tests,ExternalApp Tests,External App 4,Long-press case -> launch update form in CommCare,Partial,"Spike confirmed (BrowserStack otherApps) - companion app appId/case-row selectors UNVERIFIED, see flows/externalapp_tests/README.md",flows/externalapp_tests/external_app_04_launch_update_form.yaml
ExternalApp Tests,ExternalApp Tests,External App 5,View Fixture Data,Partial,"Spike confirmed (BrowserStack otherApps) - companion app appId/fixture selectors UNVERIFIED, see flows/externalapp_tests/README.md",flows/externalapp_tests/external_app_05_view_fixture_data.yaml
ExternalApp Tests,ExternalApp Tests,External App 6,Acquire CommCare Key + OS permission dialog + sync,Not automatable,Combines the cross-app flow with an OS permission dialog that behaves inconsistently across device-farm Android versions,
Right to Left Text,Right to Left Text,Setup 1,Uninstall + install latest build + deploy RTL app,Partial,HQ API: publish app,(handled by hq_setup/right_to_left_text/setup_01_publish_rtl_app.json - no dedicated flow needed beyond Setup 4-style manual barcode-claim)
Right to Left Text,Right to Left Text,Setup 2,Change device system language to Arabic,Partial,Scriptable via adb (settings put system system_locales ar) instead of manual navigation,flows/right_to_left_text/setup_02_change_device_language_to_arabic.yaml
Right to Left Text,Right to Left Text,Setup 3,Change in-app language to Arabic,Automatable,,flows/right_to_left_text/setup_03_change_language_to_arabic.yaml
Right to Left Text,Right to Left Text,Login 1,Header RTL alignment,Not automatable,Visual layout/mirroring judgment,
Right to Left Text,Right to Left Text,Login 2,Body RTL alignment,Not automatable,Visual layout/mirroring judgment,
Right to Left Text,Right to Left Text,Login 3,Typed-text RTL population,Not automatable,Visual layout/mirroring judgment,
Right to Left Text,Right to Left Text,Home Screen 1,RTL alignment/mirroring/animation check,Not automatable,Visual layout/mirroring/animation-direction judgment,
Right to Left Text,Right to Left Text,Home Screen 2,RTL alignment/mirroring/animation check,Not automatable,Visual layout/mirroring/animation-direction judgment,
Right to Left Text,Right to Left Text,Home Screen 3,RTL alignment/mirroring/animation check,Not automatable,Visual layout/mirroring/animation-direction judgment,
Right to Left Text,Right to Left Text,Home Screen 4,RTL alignment/mirroring/animation check,Not automatable,Visual layout/mirroring/animation-direction judgment,
Right to Left Text,Right to Left Text,Home Screen 5,RTL alignment/mirroring/animation check,Not automatable,Visual layout/mirroring/animation-direction judgment,
Right to Left Text,Right to Left Text,Home Screen 6,RTL alignment/mirroring/animation check,Not automatable,Visual layout/mirroring/animation-direction judgment,
Right to Left Text,Right to Left Text,Home Screen 7,RTL alignment/mirroring/animation check,Not automatable,Visual layout/mirroring/animation-direction judgment,
Right to Left Text,Right to Left Text,Home Screen 8,RTL alignment/mirroring/animation check,Not automatable,Visual layout/mirroring/animation-direction judgment,
Right to Left Text,Right to Left Text,Question Types 1,Form/menu list RTL alignment,Not automatable,Visual layout judgment,
Right to Left Text,Right to Left Text,Question Types 2,Open first form (pure navigation),Automatable,,flows/right_to_left_text/question_types_02_open_first_form.yaml
Right to Left Text,Right to Left Text,Question Types 3,Swipe direction/progress bar/whitespace/position RTL check,Not automatable,Visual/gesture-direction judgment,
Right to Left Text,Right to Left Text,Question Types 4,Swipe direction/progress bar/whitespace/position RTL check,Not automatable,Visual/gesture-direction judgment,
Right to Left Text,Right to Left Text,Question Types 5,Swipe direction/progress bar/whitespace/position RTL check,Not automatable,Visual/gesture-direction judgment,
Right to Left Text,Right to Left Text,Question Types 6,Swipe direction/progress bar/whitespace/position RTL check,Not automatable,Visual/gesture-direction judgment,
Right to Left Text,Right to Left Text,Question Types 7,Swipe direction/progress bar/whitespace/position RTL check,Not automatable,Visual/gesture-direction judgment,
Right to Left Text,Right to Left Text,Case list 1,Load case list (pure navigation),Automatable,,flows/right_to_left_text/case_list_01_load_case_list.yaml
Right to Left Text,Right to Left Text,Case list 2,Column order/alignment/arrow-direction check,Not automatable,Visual layout judgment,
Right to Left Text,Right to Left Text,Case list 3,Column order/alignment/arrow-direction check,Not automatable,Visual layout judgment,
Right to Left Text,Right to Left Text,Case list 4,Column order/alignment/arrow-direction check,Not automatable,Visual layout judgment,
Right to Left Text,Right to Left Text,General,Popup/spinner RTL + counter-clockwise rotation,Not automatable,Visual/animation-direction judgment,
Updates (partial and failed),Updates (partial and failed),Setup,"Stage CCZ update, interrupt with CommCare update mid-stream",Not automatable,Requires precisely timed interleaving of a real CommCare binary update mid-flow,
Updates (partial and failed),Updates (partial and failed),Update 1,Confirm staged update auto-applies,Automatable,,flows/updates_partial_failed/scenario_1_staged_update_auto_apply.yaml
Updates (partial and failed),Updates (partial and failed),Update 2,Updated Form 1 verification,Automatable,,flows/updates_partial_failed/scenario_1_staged_update_auto_apply.yaml
Updates (partial and failed),Updates (partial and failed),Update 3,Unchanged Form 2 verification,Automatable,,flows/updates_partial_failed/scenario_1_staged_update_auto_apply.yaml
Updates (partial and failed),Updates (partial and failed),Setup,Update CommCare while CCZ download in progress,Not automatable,Same timing-critical interleaving,
Updates (partial and failed),Updates (partial and failed),Update 4,Confirm update did not auto-apply,Automatable,,flows/updates_partial_failed/scenario_2_manual_update_after_interrupted_download.yaml
Updates (partial and failed),Updates (partial and failed),Update 5,Manually complete update afterward,Automatable,,flows/updates_partial_failed/scenario_2_manual_update_after_interrupted_download.yaml
Updates (partial and failed),Updates (partial and failed),Update 6,Updated Form 1 verification,Automatable,,flows/updates_partial_failed/scenario_2_manual_update_after_interrupted_download.yaml
Updates (partial and failed),Updates (partial and failed),Update 7,Unchanged Form 2 verification,Automatable,,flows/updates_partial_failed/scenario_2_manual_update_after_interrupted_download.yaml
Updates (partial and failed),Updates (partial and failed),"Update between reverted app versions: 
Setup",Install Version 1 of version-reverted app,Automatable,,flows/updates_partial_failed/scenario_3_reverted_app_versions.yaml
Updates (partial and failed),Updates (partial and failed),Update 8,CommCare update 2.45 -> test version,Automatable,,flows/updates_partial_failed/scenario_3_reverted_app_versions.yaml
Updates (partial and failed),Updates (partial and failed),Update 9,"Mark V2 released, update to it",Partial,HQ API: mark build released,flows/updates_partial_failed/scenario_3_reverted_app_versions.yaml
Updates (partial and failed),Updates (partial and failed),Update 10,"Mark V4 released, update to it",Partial,HQ API: mark build released,flows/updates_partial_failed/scenario_3_reverted_app_versions.yaml
Updates (partial and failed),Updates (partial and failed),Update 11,Form One verification,Automatable,,flows/updates_partial_failed/scenario_3_reverted_app_versions.yaml
Updates (partial and failed),Updates (partial and failed),Update 12,Form Two verification,Automatable,,flows/updates_partial_failed/scenario_3_reverted_app_versions.yaml
Updates (partial and failed),Updates (partial and failed),Setup 1,Master app release page reference,Not automatable,Pure HQ page reference - no device action,
Updates (partial and failed),Updates (partial and failed),Setup 2,Linked app release page reference,Not automatable,Pure HQ page reference - no device action,
Updates (partial and failed),Updates (partial and failed),Installation 1,Install CommCare APK,Automatable,,flows/updates_partial_failed/scenario_4_linked_app_install_and_update.yaml
Updates (partial and failed),Updates (partial and failed),Installation 2,Install linked app V2,Automatable,,flows/updates_partial_failed/scenario_4_linked_app_install_and_update.yaml
Updates (partial and failed),Updates (partial and failed),Update 13,"Mark V6 released on linked app, update",Partial,HQ API: mark build released,flows/updates_partial_failed/scenario_4_linked_app_install_and_update.yaml
Updates (partial and failed),Updates (partial and failed),Update 14,Form A verification (new questions),Automatable,,flows/updates_partial_failed/scenario_4_linked_app_install_and_update.yaml
Updates (partial and failed),Updates (partial and failed),Update 15,Form B verification (unchanged),Automatable,,flows/updates_partial_failed/scenario_4_linked_app_install_and_update.yaml
Updates (partial and failed),Updates (partial and failed),Setup,Install old CommCare 2.45,Partial,"Needs a specific historical APK provisioned externally Covered by run_suite.py --release-tag/--apk (installing a specific historical CommCare binary is harness-level APK selection, not an in-app Maestro action) - not a Maestro flow, nothing to add here.",(handled by scripts/run_suite.py's --release-tag/--apk selection - no dedicated flow needed)
Updates (partial and failed),Updates (partial and failed),Installation 1,Install linked app V2 (Version 18),Automatable,,flows/updates_partial_failed/scenario_5_relogin_autoupdate_verification.yaml
Updates (partial and failed),Updates (partial and failed),Update 16,"Stage update to V6, interrupt with CommCare update mid-flow",Not automatable,Timing-critical interleaved binary update,
Updates (partial and failed),Updates (partial and failed),Update 17,Re-login,Automatable,,flows/updates_partial_failed/scenario_5_relogin_autoupdate_verification.yaml
Updates (partial and failed),Updates (partial and failed),Update verification,Verify auto-update to V6,Automatable,,flows/updates_partial_failed/scenario_5_relogin_autoupdate_verification.yaml
Updates (partial and failed),Updates (partial and failed),Update 18,Form A verification,Automatable,,flows/updates_partial_failed/scenario_5_relogin_autoupdate_verification.yaml
Updates (partial and failed),Updates (partial and failed),Update 19,Form B verification,Automatable,,flows/updates_partial_failed/scenario_5_relogin_autoupdate_verification.yaml
Recovery Measures,Recovery Measures,Setup 1,Download/deploy Test One + login,Partial,HQ API: publish Test One,flows/recovery_measures/update_app_flow.yaml
Recovery Measures,Recovery Measures,Reinstall and update 1,Reinstall and Update App step,Automatable,,flows/recovery_measures/reinstall_update_app_flow.yaml
Recovery Measures,Recovery Measures,Reinstall and update 2,Reinstall and Update App step,Partial,HQ API: mark build released,hq_setup/recovery_measures/reinstall_update_2_mark_test_two.json
Recovery Measures,Recovery Measures,Reinstall and update 3,Reinstall and Update App step,Automatable,,flows/recovery_measures/reinstall_update_03_update_to_test_two.yaml
Recovery Measures,Recovery Measures,Reinstall and update 4,Reinstall and Update App step,Partial,HQ API: mark build released,hq_setup/recovery_measures/reinstall_update_4_mark_test_three.json
Recovery Measures,Recovery Measures,Reinstall and update 5,Reinstall and Update App step,Automatable,,flows/recovery_measures/reinstall_update_app_flow.yaml
Recovery Measures,Recovery Measures,Reinstall and update 6,Reinstall and Update App step,Automatable,,flows/recovery_measures/reinstall_update_app_flow.yaml
Recovery Measures,Recovery Measures,Reinstall and update 7,Reinstall and Update App step,Automatable,,flows/recovery_measures/reinstall_update_07_10_online_install_and_negative.yaml
Recovery Measures,Recovery Measures,Reinstall and update 8,Reinstall and Update App step,Automatable,,flows/recovery_measures/reinstall_update_07_10_online_install_and_negative.yaml
Recovery Measures,Recovery Measures,Reinstall and update 9,Reinstall and Update App step,Automatable,,flows/recovery_measures/reinstall_update_07_10_online_install_and_negative.yaml
Recovery Measures,Recovery Measures,Reinstall and update 10,Reinstall and Update App step,Automatable,,flows/recovery_measures/reinstall_update_07_10_online_install_and_negative.yaml
Recovery Measures,Recovery Measures,Setup 1,Download/deploy + login,Partial,HQ API,flows/recovery_measures/update_app_flow.yaml
Recovery Measures,Recovery Measures,Update 1,Update App step,Automatable,,flows/recovery_measures/update_app_flow.yaml
Recovery Measures,Recovery Measures,Update 2,Update App step,Partial,HQ API: mark build released,flows/recovery_measures/update_app_flow.yaml
Recovery Measures,Recovery Measures,Update 3,Update App step,Automatable,,flows/recovery_measures/update_app_flow.yaml
Recovery Measures,Recovery Measures,Update 4,Update App step,Partial,HQ API: mark build released,flows/recovery_measures/update_app_flow.yaml
Recovery Measures,Recovery Measures,Update 5,Update App step,Automatable,,flows/recovery_measures/update_app_flow.yaml
Recovery Measures,Recovery Measures,Update 6,Update App step,Automatable,,flows/recovery_measures/update_app_flow.yaml
Recovery Measures,Recovery Measures,Setup 1,Download/deploy,Partial,HQ API,flows/recovery_measures/offline_reinstall_update_app_flow.yaml
Recovery Measures,Recovery Measures,Recovery (offline) 1,Offline Reinstall and Update App step,Automatable,,flows/recovery_measures/offline_reinstall_update_app_flow.yaml
Recovery Measures,Recovery Measures,Recovery (offline) 2,Offline Reinstall and Update App step,Partial,HQ API: mark build released,hq_setup/recovery_measures/offline_2_mark_test_two.json
Recovery Measures,Recovery Measures,Recovery (offline) 3,Offline Reinstall and Update App step,Automatable,,flows/recovery_measures/offline_reinstall_update_app_flow.yaml
Recovery Measures,Recovery Measures,Recovery (offline) 4,Offline Reinstall and Update App step,Partial,HQ API: mark build released,hq_setup/recovery_measures/offline_4_mark_test_three.json
Recovery Measures,Recovery Measures,Recovery (offline) 5,"Publish + download CCZ, move to custom device path",Partial,Needs adb push to a custom (non-Downloads) path; BLOCKED: needs adb push of a .ccz to a custom device path first,flows/recovery_measures/offline_05_place_ccz_custom_path.yaml
Recovery Measures,Recovery Measures,Recovery (offline) 6,Trigger 'no CCZ found' + manual file-picker select,Partial,Depends on step 5's pushed file,flows/recovery_measures/offline_06_select_ccz_via_picker.yaml
Recovery Measures,Recovery Measures,Recovery (offline) 7,Offline Reinstall and Update App step,Automatable,,flows/recovery_measures/offline_reinstall_update_app_flow.yaml
Recovery Measures,Recovery Measures,Recovery (offline) 8,Move CCZ into Downloads folder,Partial,adb file relocation; BLOCKED: needs adb file relocation first,flows/recovery_measures/offline_08_move_ccz_to_downloads.yaml
Recovery Measures,Recovery Measures,Recovery (offline) 9,Uninstall/reinstall Test Two + mark Test Three released,Partial,Device reinstall + HQ API,hq_setup/recovery_measures/offline_9_mark_test_three.json + flows/recovery_measures/offline_09_uninstall_reinstall_test_two.yaml
Recovery Measures,Recovery Measures,Recovery (offline) 10,Offline Reinstall and Update App step,Automatable,,flows/recovery_measures/offline_reinstall_update_app_flow.yaml
Recovery Measures,Recovery Measures,Recovery (offline) 11,Offline Reinstall and Update App step,Automatable,,flows/recovery_measures/offline_reinstall_update_app_flow.yaml
Recovery Measures,Recovery Measures,CC Reinstall Needed 1,CC Reinstall Needed step,Partial,"Needs a specific historical APK; BLOCKED: needs a specific historical APK - commcare_2.45.0/.1/.2 tags confirmed to exist, ambiguous which",hq_setup/recovery_measures/cc_reinstall_needed_provisioning.json
Recovery Measures,Recovery Measures,CC Reinstall Needed 2,CC Reinstall Needed step,Partial,HQ API: mark released,hq_setup/recovery_measures/cc_reinstall_needed_2_mark_released.json
Recovery Measures,Recovery Measures,CC Reinstall Needed 3,CC Reinstall Needed step,Automatable,,flows/recovery_measures/cc_reinstall_needed_flow.yaml
Recovery Measures,Recovery Measures,CC Reinstall Needed 4,CC Reinstall Needed step,Automatable,,flows/recovery_measures/cc_reinstall_needed_flow.yaml
Recovery Measures,Recovery Measures,CC Reinstall Needed 5,CC Reinstall Needed step,Automatable,,flows/recovery_measures/cc_reinstall_needed_flow.yaml
Recovery Measures,Recovery Measures,CC Reinstall Needed 1,CC Update Needed step,Partial,Needs historical APK; BLOCKED: needs a specific historical APK,hq_setup/recovery_measures/cc_update_needed_provisioning.json
Recovery Measures,Recovery Measures,CC Reinstall Needed 2,CC Update Needed step,Partial,HQ API: mark released + raise recovery Max Version,hq_setup/recovery_measures/cc_update_needed_2_mark_released.json
Recovery Measures,Recovery Measures,CC Reinstall Needed 3,CC Update Needed step,Automatable,,flows/recovery_measures/cc_update_needed_flow.yaml
Recovery Measures,Recovery Measures,CC Reinstall Needed 4,CC Update Needed step,Automatable,,flows/recovery_measures/cc_update_needed_flow.yaml
Recovery Measures,Recovery Measures,CC Reinstall Needed 5,CC Update Needed step,Automatable,,flows/recovery_measures/cc_update_needed_flow.yaml
Recovery Measures,Recovery Measures,Retry Recovery 1,Delete files under app-private install path,Partial,App-private storage isn't reachable from a standard file manager on modern Android - needs adb shell; BLOCKED: needs adb shell run-as file deletion first,flows/recovery_measures/retry_recovery_01_delete_install_files.yaml
Recovery Measures,Recovery Measures,Retry Recovery 2,"Disable network mid-recovery, verify Retry button",Partial,Needs a scripted network-disable step (BrowserStack network condition) instead of physical airplane mode,flows/recovery_measures/retry_recovery_02_network_toggle_retry.yaml
Recovery Measures,Recovery Measures,CC Reinstall Needed 6,"Install 2.49.4, verify no forced update",Partial,Needs a specific historical APK; BLOCKED: needs commcare_2.49.4 APK,hq_setup/recovery_measures/point_release_provisioning.json
Recovery Measures,Recovery Measures,CC Reinstall Needed 7,"Install 2.49.5, verify forced-update message",Partial,Needs a specific historical APK; BLOCKED: needs commcare_2.49.5 APK,hq_setup/recovery_measures/point_release_provisioning.json
Recovery Measures,Recovery Measures,CC Reinstall Needed 8,"Update to test version, verify unblocked",Automatable,,flows/recovery_measures/point_release_flow.yaml
Recovery Measures,Recovery Measures,Heartbeat Request Improvement 1,Install Test One/Two via HQ + submit form,Partial,HQ API,hq_setup/recovery_measures/heartbeat_1_setup.json + flows/recovery_measures/heartbeat_01_setup_and_submit.yaml
Recovery Measures,Recovery Measures,Heartbeat Request Improvement 2,Mark Test Two released + wait 1 hour + verify heartbeat recovery,Not automatable,Requires a full real-time 1-hour wait - impractical for billed device-farm sessions,
Trigger Device Logs,Trigger device logs,Device Logs 1,Set feature flag + install/login/submit/logout,Partial,"HQ API: superuser feature-flag toggle (one-time env setup, not scripted per-run)","hq_setup/trigger_device_logs/device_logs_1_feature_flag.json (manual one-time flag toggle, see its own _comment); flows/trigger_device_logs/device_logs_1_submit_form.yaml"
Trigger Device Logs,Trigger device logs,Device Logs 2,Django Admin - add domain/username,Not automatable,Django Admin is a raw desktop-browser admin page,
Trigger Device Logs,Trigger device logs,Device Logs 3,Login + sync + wait 10 min for Sumologic ingestion,Not automatable,Open-ended real-time ingestion wait,
Trigger Device Logs,Trigger device logs,Device Logs 4,Query Sumologic + validate log entries,Not automatable,Pure desktop-browser Sumologic query - no device interaction,
Updates,Updates,Rate limit 1,Download rate-limited app + login,Partial,Needs the specific rate-limited test app provisioned,hq_setup/updates_2_49/rate_limit_provisioning.json
Updates,Updates,Rate limit 2,Submit + verify rate-limit popup + close,Automatable,,flows/updates_2_49/rate_limit_02_04_popup_dont_show_toast.yaml
Updates,Updates,Rate limit 3,Submit again + 'Don't show again',Automatable,,flows/updates_2_49/rate_limit_02_04_popup_dont_show_toast.yaml
Updates,Updates,Rate limit 4,Submit again + bottom-toast text,Automatable,,flows/updates_2_49/rate_limit_02_04_popup_dont_show_toast.yaml
Updates,Updates,Rate limit 5,HQ App Preview blocks submission,Not automatable,"Tests CommCareHQ's own browser-based App Preview feature, not the mobile app",
Updates,Updates,Rate limit 6,HQ Web Apps blocks submission,Not automatable,Same - browser-based HQ feature,
Updates,Updates,Auto CC Update 1,Install lower version with Daily auto-update preset,Partial,HQ API: set Auto Updates = Daily,hq_setup/updates_2_49/auto_cc_update_daily_preset.json
Updates,Updates,Auto CC Update 2,"Wait 15 min-8 hrs, verify new version downloaded",Not automatable,Open-ended real-time wait up to 8 hours,
Updates,Updates,Auto CC Update 3,Relogin/sync/verify latest version,Automatable,,flows/updates_2_49/auto_cc_update_03_relogin_sync_latest_version.yaml
Updates,Updates,Setup 1,Confirm Manage Update Options tab visible,Not automatable,Read-only HQ inspection,
Updates,Updates,Setup 2,Set CommCare Version = test+1,Partial,HQ API,hq_setup/updates_2_49/setup_02_commcare_version_plus_one.json
Updates,Updates,Prompted Update Scenario 1,Optional CommCare update prompt,Automatable,,flows/updates_2_49/prompted_update_scenario_01_ill_update_later.yaml
Updates,Updates,Prompted Update Scenario 2,Forced CommCare update blocker,Partial,HQ API: toggle Forced,hq_setup/updates_2_49/prompted_update_scenario_02_forced.json + flows/updates_2_49/prompted_update_scenario_02_forced_commcare_update.yaml
Updates,Updates,Prompted Update Scenario 3,Off setting + wait 5-10 min + verify no prompt,Not automatable,HQ config change + mandatory timed wait,
Updates,Updates,In-App Update 1,Play Store internal-tester update chain,Not automatable,Depends on real Google Play internal-tester/app-sharing infrastructure that cloud device farms don't reliably support,
Updates,Updates,In-App Update 2,Play Store internal-tester update chain,Not automatable,Depends on real Google Play internal-tester/app-sharing infrastructure that cloud device farms don't reliably support,
Updates,Updates,In-App Update 3,Play Store internal-tester update chain,Not automatable,Depends on real Google Play internal-tester/app-sharing infrastructure that cloud device farms don't reliably support,
Updates,Updates,In-App Update 4,Play Store internal-tester update chain,Not automatable,Depends on real Google Play internal-tester/app-sharing infrastructure that cloud device farms don't reliably support,
Updates,Updates,In-App Update 5,Play Store internal-tester update chain,Not automatable,Depends on real Google Play internal-tester/app-sharing infrastructure that cloud device farms don't reliably support,
Updates,Updates,In-App Update 6,Play Store internal-tester update chain,Not automatable,Depends on real Google Play internal-tester/app-sharing infrastructure that cloud device farms don't reliably support,
Updates,Updates,In-App Update 7,Play Store internal-tester update chain,Not automatable,Depends on real Google Play internal-tester/app-sharing infrastructure that cloud device farms don't reliably support,
Updates,Updates,In-App Update 8,Play Store internal-tester update chain,Not automatable,Depends on real Google Play internal-tester/app-sharing infrastructure that cloud device farms don't reliably support,
Updates,Updates,In-App Update 9,Play Store internal-tester update chain,Not automatable,Depends on real Google Play internal-tester/app-sharing infrastructure that cloud device farms don't reliably support,
Updates,Updates,In-App Update 10,Play Store internal-tester update chain,Not automatable,Depends on real Google Play internal-tester/app-sharing infrastructure that cloud device farms don't reliably support,
Session Expiration,Session Expiration,Setup 1,Install Application,Partial,"Needs a valid HQ web-user email/password (See Apps for My User path) to install the non-default ""Session Expiration Test"" app",flows/session_expiration/setup_01_install_application.yaml
Session Expiration,Session Expiration,Setup 2,Restore User,Partial,"Same HQ web-user dependency as Setup 1; on-device assertions (notification text, 45s auto-logout) verified against SessionExpirationTests.kt",flows/session_expiration/setup_02_restore_user_session_expires.yaml
Login,Login,CommCare ODK 1,Login,Partial,Needs a valid HQ web-user email/password (See Apps for My User path) to install the app on a fresh device; on-device login itself is automatable,flows/login/commcare_odk_01_login.yaml
Login,Login,CommCare ODK 2,Check Session,Partial,"Same HQ web-user dependency as ODK 1; only the session-notification banner presence is asserted, not the exact 24h expiration duration (unreadable from a live countdown)",flows/login/commcare_odk_02_check_session.yaml
Login,Login,CommCare ODK 3,Logout,Partial,Same HQ web-user dependency as ODK 1; on-device logout itself is automatable,flows/login/commcare_odk_03_logout.yaml
Support Menus,Support Menus,Menu 1,Report Problem,Partial,"Needs HQ web-user install; share-sheet chooser for where to send the report is OS-level and device-dependent, so only chooser-opens is asserted, not a completed send",flows/support_menus/menu_01_report_problem.yaml
Support Menus,Support Menus,Menu 2,Force Log Submission,Partial,Needs HQ web-user install; assumes the build's logenabled custom property already satisfies the sheet's HQ-side pre-requisite (not verified on-device),flows/support_menus/menu_02_force_log_submission.yaml
Conditional Enum in Case List,Conditional Enum in Case List,Setup 1,Enable Feature Preview,Not automatable,Pure HQ app-builder web UI action (enable the Conditional ID Mapping in Case List Add-on) - no on-device Maestro step,
Conditional Enum in Case List,Conditional Enum in Case List,Setup 2,Verify Feature Preview,Not automatable,Pure HQ app-builder web UI action (check a Display Property Format dropdown) - no on-device Maestro step,
Conditional Enum in Case List,Conditional Enum in Case List,Conditional ID Mapping 1,Create Cases,Partial,"Needs HQ web-user install; Test Two's date-set-to-yesterday step is a best-effort DatePicker swipe, unverified against a live run",flows/conditional_enum_in_case_list/conditional_id_mapping_01_06_full_scenario.yaml
Conditional Enum in Case List,Conditional Enum in Case List,Conditional ID Mapping 2,Update Case 1,Automatable,,flows/conditional_enum_in_case_list/conditional_id_mapping_01_06_full_scenario.yaml
Conditional Enum in Case List,Conditional Enum in Case List,Conditional ID Mapping 3,Update Case 2,Automatable,,flows/conditional_enum_in_case_list/conditional_id_mapping_01_06_full_scenario.yaml
Conditional Enum in Case List,Conditional Enum in Case List,Conditional ID Mapping 4,Update Case 3,Automatable,,flows/conditional_enum_in_case_list/conditional_id_mapping_01_06_full_scenario.yaml
Conditional Enum in Case List,Conditional Enum in Case List,Conditional ID Mapping 5,Update Case 4,Automatable,,flows/conditional_enum_in_case_list/conditional_id_mapping_01_06_full_scenario.yaml
Conditional Enum in Case List,Conditional Enum in Case List,Conditional ID Mapping 6,Update Case 5,Automatable,,flows/conditional_enum_in_case_list/conditional_id_mapping_01_06_full_scenario.yaml
Menu Badges,Menu Badges,Menu Badges 1,Install,Automatable,Handled by run_suite.py APK install + install_app_as_web_user.yaml - no dedicated flow needed,"(handled by ../common/install_app_as_web_user.yaml, APP_NAME: Performance Testing)"
Menu Badges,Menu Badges,Menu Badges 2,Login,Automatable,Handled by the shared login step in menu_badges_03_04_badge_loads.yaml - no dedicated flow needed,flows/menu_badges/menu_badges_03_04_badge_loads.yaml
Menu Badges,Menu Badges,Menu Badges 3,Confirm page with module badges loads immediately,Partial,Needs HQ web-user install (install_app_as_web_user.yaml),flows/menu_badges/menu_badges_03_04_badge_loads.yaml
Menu Badges,Menu Badges,Menu Badges 4,Menu Badge Load,Partial,Same HQ web-user dependency as Menu Badges 3; waits up to 2 minutes for the badge count to populate,flows/menu_badges/menu_badges_03_04_badge_loads.yaml
Menu Badges,Menu Badges,Menu Badges 5,Check badge appearance,Not automatable,Visual-rendering judgment (legible / not cut off / not fuzzy) - outside Maestro structural assertions,
Date Widgets,Date Widgets,Date 1,Install,Automatable,Handled by run_suite.py APK install + install_app_as_web_user.yaml - no dedicated flow needed,"(handled by ../common/install_app_as_web_user.yaml, APP_NAME: Date Widgets)"
Date Widgets,Date Widgets,Date 2,Nepali,Partial,Needs HQ web-user install; exhaustive month-order/calendar cross-reference verification skipped (visual/computational judgment),flows/date_widgets/date_02_nepali.yaml
Date Widgets,Date Widgets,Date 3,Ethiopian,Partial,"Same as Date 2, Ethiopian calendar",flows/date_widgets/date_03_ethiopian.yaml
Date Widgets,Date Widgets,Date 4,Standard 1,Partial,Needs HQ web-user install; on-device navigation is automatable,flows/date_widgets/date_04_05_standard_widget.yaml
Date Widgets,Date Widgets,Date 5,Standard 2,Partial,Same HQ web-user dependency as Date 4; asserts the three-format label is visible rather than an exact moving-target date string,flows/date_widgets/date_04_05_standard_widget.yaml
Other - Error Tests,Other - Error Tests,Setup 1,Install Application,Automatable,Handled by run_suite.py APK install + install_app_as_web_user.yaml - no dedicated flow needed,"(handled by ../common/install_app_as_web_user.yaml, APP_NAME: Other)"
Other - Error Tests,Other - Error Tests,Setup 2,Restore User,Automatable,Handled by the shared login step in xform_error_01_04.yaml/keyboard_navigation.yaml - no dedicated flow needed,flows/other_error_tests/xform_error_01_04.yaml
Other - Error Tests,Other - Error Tests,Keyboard Navigation,Ensure action key function updates,Partial,"IME action-key symbol is rendered by the on-device keyboard app, not asserted; only form paging/completion is automated",flows/other_error_tests/keyboard_navigation.yaml
Other - Error Tests,Other - Error Tests,XForm Error 1,Immediate calculate expression fail,Automatable,,flows/other_error_tests/xform_error_01_04.yaml
Other - Error Tests,Other - Error Tests,XForm Error 2,Delayed calculate expression fail,Automatable,,flows/other_error_tests/xform_error_01_04.yaml
Other - Error Tests,Other - Error Tests,XForm Error 3,Bad relevancy condition fail,Automatable,,flows/other_error_tests/xform_error_01_04.yaml
Other - Error Tests,Other - Error Tests,XForm Error 4,Bad repeat node reference fail,Automatable,,flows/other_error_tests/xform_error_01_04.yaml
Other - Error Tests,Other - Error Tests,Callout Setup 1,Install Breath Counter,Not automatable,"Requires a real Google Play Store install of a third-party app - BrowserStack App Automate installs only the uploaded APK, no Play Store access",
Other - Error Tests,Other - Error Tests,Callout Setup 2,Install SMS Application,Not automatable,Requires a real SMS app already present/installed from the Play Store,
Other - Error Tests,Other - Error Tests,Arbitrary Intent 1,External callout to Breath Counter,Not automatable,Depends on Callout Setup 1 (Not automatable) - the external app it callouts to is never installed,
Other - Error Tests,Other - Error Tests,Arbitrary Intent 2,Expanded callout - Send SMS,Not automatable,Depends on Callout Setup 2 (Not automatable) - no SMS app installed to receive the callout,
Case Filters,Case Filters,Setup 1,Login,Automatable,Handled by the shared login step in fuzzy_search_01_03.yaml - no dedicated flow needed,flows/case_filters/fuzzy_search_01_03.yaml
Case Filters,Case Filters,Fuzzy Search 1,Enable Fuzzy Search,Partial,Needs HQ web-user install; assumes a pre-existing case named Christy per the sheet's own prerequisite note,flows/case_filters/fuzzy_search_01_03.yaml
